iter	RMSE
0	233885.5065
1	228408.4443
2	223053.5828
3	217885.1953
4	213359.8234
5	208945.9963
6	204650.0347
7	200518.838
8	196508.6553
9	192740.449
10	189339.4142
11	185935.6491
12	182691.1797
13	179627.1511
14	176601.6412
15	174065.2759
16	171208.1277
17	168773.1125
18	166349.8731
19	163928.6544
20	161850.8611
21	159825.0498
22	157760.2934
23	155637.7384
24	153680.7376
25	152059.4349
26	150518.7866
27	149027.9586
28	147595.3563
29	146115.1736
30	144557.6967
31	143147.2295
32	141944.3526
33	140718.1874
34	139357.8088
35	137922.6145
36	136793.6793
37	135731.2284
38	134750.2431
39	133850.7147
40	133009.8392
41	132035.2251
42	130966.0329
43	130102.4882
44	129241.2888
45	128315.9244
46	127427.0051
47	126673.2419
48	125878.0645
49	125117.2456
50	124319.3649
51	123650.2358
52	122905.8718
53	122170.8956
54	121597.8595
55	120891.3998
56	120322.25
57	119843.7773
58	119226.6438
59	118696.5541
60	118260.7911
61	117733.6865
62	117265.318
63	116747.584
64	116355.0722
65	115889.6103
66	115494.4614
67	115095.2423
68	114753.4878
69	114249.0857
70	113849.0358
71	113550.2359
72	113191.7975
73	112832.5481
74	112459.0775
75	112068.1639
76	111548.6945
77	111286.0011
78	110950.4007
79	110564.8775
80	110271.2941
81	109960.1711
82	109540.3806
83	109169.8683
84	108898.9772
85	108579.9696
86	108252.1305
87	107913.8485
88	107665.1325
89	107353.4735
90	107180.3882
91	106932.1413
92	106654.5176
93	106500.9177
94	106267.8002
95	106111.549
96	105795.1966
97	105465.2073
98	105190.7345
99	104880.7108
100	104732.5955
101	104512.4469
102	104329.5675
103	104174.3664
104	103977.882
105	103778.2287
106	103565.4028
107	103248.5382
108	103095.25
109	102905.4933
110	102717.4042
111	102457.4502
112	102313.9192
113	102112.5084
114	101918.3597
115	101809.1387
116	101639.1473
117	101357.5987
118	101222.368
119	101033.0341
120	100718.1267
121	100565.1658
122	100470.8157
123	100320.2765
124	100177.9388
125	99933.42847
126	99764.42462
127	99616.31587
128	99489.17889
129	99303.66115
130	99195.20981
131	98944.71484
132	98777.43965
133	98639.99302
134	98444.64487
135	98232.45181
136	97929.15197
137	97787.25144
138	97643.14177
139	97462.38067
140	97375.90934
141	97173.51521
142	97036.13314
143	96919.18144
144	96812.47197
145	96545.45251
146	96450.36478
147	96326.31256
148	96189.93371
