iter	Passed	Remaining
0	183	183051
1	216	108259
2	254	84416
3	287	71666
4	329	65529
5	362	60097
6	394	55923
7	447	55455
8	491	54101
9	535	53023
10	577	51937
11	624	51379
12	688	52240
13	757	53367
14	815	53538
15	881	54235
16	922	53317
17	971	53013
18	1041	53782
19	1135	55652
20	1336	62307
21	1588	70626
22	1700	72253
23	1785	72627
24	1825	71189
25	1865	69895
26	1914	69005
27	1963	68158
28	2009	67268
29	2051	66328
30	2098	65585
31	2142	64802
32	2180	63895
33	2217	62996
34	2256	62215
35	2297	61516
36	2340	60918
37	2381	60285
38	2482	61172
39	2557	61375
40	2610	61057
41	2674	61006
42	2823	62832
43	2891	62833
44	2957	62759
45	3073	63742
46	3150	63878
47	3201	63487
48	3270	63467
49	3343	63535
50	3401	63299
51	3470	63264
52	3553	63493
53	3686	64581
54	3820	65636
55	3904	65823
56	3954	65428
57	4015	65220
58	4081	65092
59	4140	64861
60	4191	64527
61	4258	64428
62	4341	64565
63	4397	64318
64	4448	63988
65	4505	63763
66	4569	63631
67	4625	63395
68	4681	63171
69	4734	62896
70	4796	62759
71	4849	62508
72	4894	62147
73	4939	61812
74	4986	61500
75	5030	61154
76	5068	60751
77	5113	60446
78	5151	60054
79	5188	59662
80	5220	59225
81	5251	58791
82	5285	58391
83	5319	58005
84	5357	57667
85	5391	57298
86	5424	56920
87	5453	56515
88	5486	56156
89	5521	55827
90	5554	55481
91	5588	55159
92	5622	54836
93	5654	54504
94	5688	54189
95	5719	53861
96	5749	53522
97	5782	53226
98	5815	52922
99	5849	52647
100	5881	52352
101	5915	52081
102	5946	51783
103	5977	51497
104	6013	51256
105	6044	50977
106	6076	50715
107	6113	50495
108	6144	50230
109	6177	49977
110	6210	49743
111	6244	49510
112	6277	49272
113	6311	49049
114	6345	48830
115	6379	48615
116	6411	48386
117	6445	48175
118	6476	47944
119	6508	47730
120	6543	47536
121	6580	47360
122	6611	47142
123	6646	46955
124	6677	46745
125	6709	46543
126	6743	46356
127	6775	46160
128	6813	46002
129	6847	45827
130	6879	45638
131	6911	45448
132	6944	45268
133	6978	45099
134	7008	44905
135	7040	44728
136	7078	44588
137	7111	44423
138	7144	44253
139	7178	44096
140	7211	43930
141	7243	43766
142	7277	43613
143	7307	43437
144	7343	43302
145	7378	43156
146	7413	43019
147	7445	42864
148	7481	42731
149	7514	42581
150	7548	42440
151	7583	42309
152	7616	42167
153	7651	42032
154	7687	41906
155	7718	41756
156	7751	41618
157	7786	41492
158	7822	41374
159	7852	41227
160	7890	41119
161	7927	41006
162	7961	40882
163	8005	40807
164	8036	40668
165	8071	40553
166	8106	40434
167	8137	40298
168	8169	40173
169	8202	40047
170	8236	39931
171	8269	39807
172	8300	39681
173	8331	39551
174	8369	39453
175	8401	39336
176	8436	39227
177	8467	39102
178	8497	38973
179	8532	38871
180	8562	38744
181	8593	38623
182	8628	38522
183	8660	38407
184	8695	38308
185	8727	38195
186	8761	38090
187	8792	37974
188	8829	37887
189	8861	37779
190	8895	37676
191	8928	37572
192	8961	37471
193	8994	37369
194	9030	37278
195	9063	37178
196	9094	37070
197	9125	36962
198	9159	36868
199	9192	36770
200	9225	36673
201	9259	36578
202	9292	36482
203	9322	36375
204	9354	36277
205	9387	36182
206	9418	36080
207	9455	36004
208	9489	35915
209	9519	35812
210	9552	35720
211	9586	35633
212	9618	35538
213	9658	35473
214	9693	35390
215	9725	35301
216	9759	35214
217	9794	35132
218	9827	35048
219	9860	34960
220	9895	34879
221	9927	34790
222	9965	34724
223	9998	34636
224	10030	34550
225	10063	34466
226	10099	34390
227	10132	34309
228	10164	34220
229	10197	34139
230	10235	34072
231	10271	34001
232	10304	33922
233	10337	33841
234	10373	33769
235	10405	33686
236	10438	33604
237	10471	33527
238	10503	33442
239	10535	33362
240	10567	33282
241	10598	33197
242	10635	33131
243	10681	33094
244	10710	33006
245	10744	32931
246	10777	32857
247	10811	32782
248	10851	32729
249	10884	32652
250	10915	32571
251	10948	32498
252	10981	32424
253	11014	32349
254	11052	32291
255	11085	32218
256	11119	32145
257	11152	32074
258	11187	32008
259	11220	31935
260	11253	31862
261	11286	31790
262	11319	31720
263	11352	31650
264	11387	31583
265	11419	31512
266	11456	31452
267	11494	31394
268	11523	31314
269	11561	31258
270	11597	31197
271	11631	31130
272	11670	31079
273	11703	31009
274	11734	30936
275	11767	30867
276	11801	30803
277	11833	30733
278	11874	30686
279	11908	30620
280	11938	30548
281	11969	30475
282	12006	30420
283	12042	30361
284	12073	30288
285	12102	30215
286	12136	30150
287	12166	30077
288	12199	30014
289	12231	29946
290	12267	29888
291	12297	29816
292	12329	29751
293	12362	29685
294	12395	29622
295	12426	29555
296	12457	29486
297	12489	29421
298	12526	29367
299	12558	29302
300	12590	29238
301	12623	29175
302	12656	29114
303	12688	29051
304	12720	28986
305	12754	28927
306	12784	28859
307	12817	28796
308	12851	28739
309	12883	28676
310	12917	28617
311	12950	28557
312	12979	28487
313	13010	28425
314	13052	28384
315	13085	28323
316	13117	28263
317	13159	28222
318	13195	28170
319	13226	28106
320	13260	28049
321	13292	27988
322	13322	27922
323	13356	27866
324	13389	27808
325	13422	27751
326	13455	27692
327	13488	27634
328	13520	27575
329	13553	27518
330	13588	27464
331	13621	27407
332	13653	27348
333	13688	27294
334	13719	27233
335	13753	27179
336	13787	27125
337	13820	27068
338	13855	27016
339	13888	26960
340	13928	26916
341	13961	26861
342	13992	26802
343	14025	26746
344	14057	26689
345	14088	26630
346	14124	26579
347	14157	26524
348	14187	26465
349	14226	26420
350	14261	26369
351	14292	26311
352	14325	26256
353	14359	26204
354	14394	26153
355	14429	26102
356	14462	26049
357	14499	26001
358	14542	25966
359	14574	25909
360	14605	25852
361	14642	25806
362	14674	25751
363	14708	25700
364	14742	25648
365	14774	25592
366	14806	25538
367	14837	25481
368	14871	25429
369	14903	25375
370	14934	25319
371	14967	25267
372	14998	25211
373	15037	25169
374	15072	25120
375	15105	25067
376	15137	25015
377	15173	24967
378	15205	24915
379	15238	24863
380	15272	24812
381	15303	24758
382	15336	24706
383	15368	24652
384	15399	24599
385	15432	24547
386	15465	24496
387	15499	24448
388	15553	24429
389	15599	24399
390	15641	24361
391	15683	24326
392	15728	24292
393	15766	24249
394	15815	24223
395	15856	24185
396	15899	24149
397	15938	24108
398	15979	24069
399	16023	24035
400	16064	23995
401	16111	23966
402	16147	23921
403	16182	23873
404	16217	23826
405	16248	23772
406	16282	23724
407	16315	23673
408	16347	23622
409	16380	23571
410	16413	23522
411	16446	23472
412	16479	23421
413	16510	23370
414	16542	23318
415	16570	23261
416	16610	23222
417	16642	23172
418	16675	23123
419	16708	23073
420	16743	23027
421	16777	22978
422	16808	22928
423	16840	22877
424	16871	22826
425	16908	22783
426	16940	22732
427	16972	22682
